name	gene_id	biotype	cluster	chr	start	end
gng5	ENSDARG00000039830	protein_coding	Cluster019	2	6331262	6337281
gng8	ENSDARG00000042970	protein_coding	Cluster001	21	25194555	25199321
gngt1	ENSDARG00000035798	protein_coding	Cluster001	19	41269414	41272348
gngt2b	ENSDARG00000103543	protein_coding	Cluster001	12	3420170	3423318
gnl2	ENSDARG00000098080	protein_coding	Cluster066	16	33947976	33971847
gnl3	ENSDARG00000006219	protein_coding	Cluster108	11	3940108	3951648
gnl3l	ENSDARG00000020595	protein_coding	Cluster144	11	25248158	25264875
gnpat	ENSDARG00000074401	protein_coding	Cluster002	20	3844866	3873735
gnpda1	ENSDARG00000037307	protein_coding	Cluster003	14	23411967	23416458
gnptab	ENSDARG00000030153	protein_coding	NA	4	17682638	17716132
gnptg	ENSDARG00000038566	protein_coding	Cluster224	24	37450449	37460138
gnsb	ENSDARG00000098296	protein_coding	NA	10	45184786	45200630
golga1	ENSDARG00000008979	protein_coding	Cluster002	8	41460289	41511431
golga2	ENSDARG00000063197	protein_coding	Cluster003	5	1375388	1432828
golga3	ENSDARG00000062511	protein_coding	Cluster070	5	18460426	18502505
golga4	ENSDARG00000075331	protein_coding	Cluster003	13	47772087	47870501
golga5	ENSDARG00000039279	protein_coding	Cluster006	13	33080564	33096961
golga7	ENSDARG00000057676	protein_coding	Cluster009	10	20406774	20414761
golga7bb	ENSDARG00000105099	protein_coding	Cluster001	13	39893111	39935940
golph3	ENSDARG00000052851	protein_coding	Cluster002	5	40482381	40503491
golt1bb	ENSDARG00000059308	protein_coding	Cluster035	25	3216030	3221674
gon4l	ENSDARG00000005867	protein_coding	NA	16	29060086	29090146
gopc	ENSDARG00000023117	protein_coding	Cluster002	20	42349838	42384324
gorab	ENSDARG00000042031	protein_coding	Cluster052	20	34598273	34604616
gosr1	ENSDARG00000026654	protein_coding	Cluster006	15	24860208	24902390
gosr2	ENSDARG00000053070	protein_coding	Cluster062	3	37507578	37519002
got1	ENSDARG00000039093	protein_coding	Cluster190	13	40311660	40331103
got2a	ENSDARG00000041068	protein_coding	Cluster112	18	21189655	21199702
gpa33	ENSDARG00000040898	protein_coding	Cluster001	9	34493513	34500702
gpalpp1	ENSDARG00000058287	protein_coding	Cluster039	1	33952837	33961797
gpank1	ENSDARG00000053995	protein_coding	Cluster002	1	25342433	25351851
gpat2	ENSDARG00000053575	protein_coding	Cluster002	8	40927594	41139397
gpat4	ENSDARG00000019897	protein_coding	Cluster025	10	41440500	41478169
gpatch1	ENSDARG00000033418	protein_coding	NA	7	37994105	38005993
gpatch3	ENSDARG00000052747	protein_coding	Cluster002	16	53703577	53714784
gpatch4	ENSDARG00000091931	protein_coding	Cluster009	16	29090669	29096051
gpatch8	ENSDARG00000059768	protein_coding	Cluster051	3	37520586	37558134
gpc1a	ENSDARG00000019341	protein_coding	Cluster001	22	15480835	15521818
gpc1b	ENSDARG00000090585	protein_coding	Cluster046	2	46179680	46331769
gpc3	ENSDARG00000032199	protein_coding	Cluster002	14	30836638	31125591
gpc4	ENSDARG00000015472	protein_coding	Cluster007	14	30749837	30810834
gpc5b	ENSDARG00000024588	protein_coding	Cluster001	22	15412483	15475034
gpd1a	ENSDARG00000043701	protein_coding	Cluster004	8	6989501	7008945
gpd1c	ENSDARG00000036942	protein_coding	Cluster050	19	24933	325377
gpd1l	ENSDARG00000040024	protein_coding	Cluster011	16	39298612	39317195
gphna	ENSDARG00000089076	protein_coding	NA	17	34047063	34235894
gphnb	ENSDARG00000100851	protein_coding	Cluster001	20	51113428	51186184
gpia	ENSDARG00000012987	protein_coding	Cluster020	25	35408675	35434057
gpib	ENSDARG00000103826	protein_coding	Cluster016	18	512830	1011132
gpkow	ENSDARG00000029612	protein_coding	Cluster010	8	36559357	36585639
gpm6aa	ENSDARG00000055455	protein_coding	Cluster001	14	36008235	36038180
gpm6ab	ENSDARG00000004621	protein_coding	Cluster001	1	37930837	38038600
gpm6ba	ENSDARG00000005739	protein_coding	Cluster001	1	28157821	28241594
gpm6bb	ENSDARG00000001676	protein_coding	Cluster022	9	55161688	55250696
gpn1	ENSDARG00000043928	protein_coding	Cluster038	17	12504345	12521201
gpn2	ENSDARG00000103127	protein_coding	Cluster125	16	33984197	33989698
gpn3	ENSDARG00000069525	protein_coding	Cluster003	21	16979701	16986018
gpnmb	ENSDARG00000062688	protein_coding	Cluster001	19	20664347	20685855
gpr101	ENSDARG00000039218	protein_coding	Cluster001	14	31549687	31553682
gpr107	ENSDARG00000103200	protein_coding	Cluster006	5	31860300	31889643
gpr108	ENSDARG00000096651	protein_coding	Cluster003	1	58365635	58373910
gpr12	ENSDARG00000062934	protein_coding	Cluster001	24	21438900	21443740
gpr137	ENSDARG00000037244	protein_coding	Cluster007	14	26141122	26152596
gpr137bb	ENSDARG00000077608	protein_coding	Cluster001	11	44264950	44281050
gpr137c	ENSDARG00000045289	protein_coding	Cluster002	17	14957637	15004194
gpr143	ENSDARG00000034572	protein_coding	Cluster081	9	55466707	55501226
gpr146	ENSDARG00000059610	protein_coding	Cluster001	3	47734932	47765241
gpr153	ENSDARG00000087601	protein_coding	Cluster001	8	46660889	46755417
gpr155a	ENSDARG00000090804	protein_coding	Cluster002	9	2472649	2505223
gpr155b	ENSDARG00000071086	protein_coding	Cluster001	6	10522754	10545271
gpr157	ENSDARG00000034975	protein_coding	Cluster003	23	22671073	22679364
gpr158a	ENSDARG00000077134	protein_coding	Cluster001	24	6365857	6472080
gpr158b	ENSDARG00000079665	protein_coding	Cluster001	2	12320790	12459614
gpr161	ENSDARG00000055659	protein_coding	NA	9	34339529	34353191
gpr173	ENSDARG00000042922	protein_coding	Cluster001	8	23393784	23395123
gpr182	ENSDARG00000036616	protein_coding	Cluster087	23	36530893	36533179
gpr186	ENSDARG00000094860	protein_coding	Cluster001	19	43951868	43956655
gpr22a	ENSDARG00000004592	protein_coding	Cluster001	4	2689021	2693376
gpr22b	ENSDARG00000045383	protein_coding	Cluster001	25	3252391	3267961
gpr27	ENSDARG00000006607	protein_coding	Cluster001	6	43905673	43909785
gpr37b	ENSDARG00000033296	protein_coding	Cluster001	4	3971334	3989577
gpr37l1b	ENSDARG00000056774	protein_coding	Cluster001	8	21233178	21236218
gpr39	ENSDARG00000102888	protein_coding	Cluster005	9	56808818	56877232
gpr52	ENSDARG00000093460	protein_coding	Cluster001	22	17334368	17335480
gpr63	ENSDARG00000074540	protein_coding	Cluster002	20	417176	422500
gpr75	ENSDARG00000098526	protein_coding	Cluster001	13	35619740	35622844
gpr85	ENSDARG00000068701	protein_coding	Cluster001	4	6634851	6639035
gprc5ba	ENSDARG00000077080	protein_coding	Cluster001	3	62130673	62143516
gprc5bb	ENSDARG00000075141	protein_coding	Cluster001	1	53996195	54005928
gps1	ENSDARG00000040650	protein_coding	Cluster229	3	36104458	36117301
gps2	ENSDARG00000035558	protein_coding	Cluster002	5	23559246	23570738
gpsm1a	ENSDARG00000092517	protein_coding	Cluster004	5	63522678	63531753
gpsm2	ENSDARG00000017311	protein_coding	Cluster002	2	45638034	45657706
gpsm2l	ENSDARG00000102026	protein_coding	Cluster002	23	40345648	40363886
gpt2	ENSDARG00000012199	protein_coding	Cluster010	7	41607356	41619953
gpt2l	ENSDARG00000019541	protein_coding	Cluster178	2	3701938	3741821
gpx3	ENSDARG00000043342	protein_coding	Cluster001	14	50452130	50472652
gpx4a	ENSDARG00000068478	protein_coding	NA	22	17564630	17586764
gpx4b	ENSDARG00000076836	protein_coding	NA	2	56518293	56531924
gpx7	ENSDARG00000091511	protein_coding	Cluster034	23	42763354	42775848
gra	ENSDARG00000078754	protein_coding	Cluster010	16	16314417	16318203
gramd1a	ENSDARG00000076689	protein_coding	NA	16	41952917	42011242
gramd1ba	ENSDARG00000075383	protein_coding	Cluster001	10	40283263	40354128
gramd4a	ENSDARG00000069171	protein_coding	Cluster001	4	28072421	28169047
gramd4b	ENSDARG00000045506	protein_coding	Cluster162	25	19772652	19838647
grap2b	ENSDARG00000101169	protein_coding	NA	6	404610	419569
grapb	ENSDARG00000022668	protein_coding	Cluster001	1	7481229	7508307
grasp	ENSDARG00000000588	protein_coding	Cluster002	23	32273057	32309591
grb2a	ENSDARG00000105276	protein_coding	Cluster002	6	22873428	22910672
grcc10	ENSDARG00000030038	protein_coding	Cluster003	20	14562950	14567032
greb1	ENSDARG00000070794	protein_coding	Cluster183	17	30352239	30400042
greb1l	ENSDARG00000039196	protein_coding	NA	2	11902143	12049695
grem2b	ENSDARG00000103092	protein_coding	Cluster095	12	47545974	47560418
grhl2a	ENSDARG00000058342	protein_coding	NA	16	9916361	9939549
grhl3	ENSDARG00000078552	protein_coding	NA	17	26946960	26958792
grhprb	ENSDARG00000019986	protein_coding	Cluster001	1	19142866	19152602
gria1a	ENSDARG00000021352	protein_coding	Cluster001	14	33785541	33936260
gria1b	ENSDARG00000032714	protein_coding	Cluster001	21	26115637	26214049
gria2a	ENSDARG00000070173	protein_coding	Cluster001	1	20640131	20716961
gria2b	ENSDARG00000052765	protein_coding	Cluster001	14	35408071	35473299
gria3a	ENSDARG00000032737	protein_coding	Cluster001	5	22848561	22925441
gria3b	ENSDARG00000037498	protein_coding	Cluster001	14	12228453	12531038
gria4a	ENSDARG00000037496	protein_coding	Cluster001	15	44475744	44790596
gria4b	ENSDARG00000059368	protein_coding	Cluster020	21	21857431	22045874
grid1a	ENSDARG00000074583	protein_coding	Cluster001	17	25936612	26345011
grid2	ENSDARG00000055302	protein_coding	Cluster020	8	28891457	29578471
grid2ipa	ENSDARG00000076103	protein_coding	Cluster001	3	18525991	18560269
grifin	ENSDARG00000033382	protein_coding	Cluster001	3	41644003	41649320
grik1a	ENSDARG00000069139	protein_coding	Cluster003	10	25441299	25608934
grik1b	ENSDARG00000040627	protein_coding	Cluster001	15	42670892	42723773
grik4	ENSDARG00000026753	protein_coding	NA	15	22787417	23253629
grik5	ENSDARG00000101449	protein_coding	Cluster001	16	11592909	11665032
grin1a	ENSDARG00000027828	protein_coding	Cluster001	21	11375973	11410343
grin1b	ENSDARG00000025728	protein_coding	Cluster001	5	28997788	29043468
grin2aa	ENSDARG00000034493	protein_coding	Cluster001	3	26940907	27146853
grin2ab	ENSDARG00000070543	protein_coding	Cluster032	1	8081513	8233791
grin2bb	ENSDARG00000030376	protein_coding	Cluster001	1	44680767	44861807
grin2ca	ENSDARG00000078149	protein_coding	Cluster001	3	18854849	18983263
grin2cb	ENSDARG00000077560	protein_coding	Cluster001	12	31794444	31898223
grinaa	ENSDARG00000101317	protein_coding	NA	19	46667364	46711367
grip1	ENSDARG00000015053	protein_coding	Cluster013	4	13034769	13256964
grip2a	ENSDARG00000087187	protein_coding	Cluster003	8	7161969	7289642
gripap1	ENSDARG00000063069	protein_coding	Cluster006	8	9660526	9753685
grk1a	ENSDARG00000058803	protein_coding	Cluster001	1	249897	262959
grk1b	ENSDARG00000104685	protein_coding	Cluster001	5	53514769	53550491
grk4	ENSDARG00000070448	protein_coding	NA	1	11215779	11286541
grk5l	ENSDARG00000078815	protein_coding	Cluster002	8	44629634	44701354
grk6	ENSDARG00000032157	protein_coding	Cluster006	21	36938286	37052289
grk7a	ENSDARG00000020602	protein_coding	Cluster001	2	16867863	16875753
grm1a	ENSDARG00000026796	protein_coding	Cluster001	20	32144506	32209939
grm1b	ENSDARG00000098320	protein_coding	Cluster005	17	7223372	7283219
grm2a	ENSDARG00000004150	protein_coding	Cluster001	6	42053979	42143600
grm3	ENSDARG00000031712	protein_coding	Cluster001	18	9014208	9088786
grm4	ENSDARG00000040156	protein_coding	Cluster020	6	46980636	47386724
grm6a	ENSDARG00000017742	protein_coding	Cluster001	8	8493822	8585423
grm6b	ENSDARG00000025671	protein_coding	Cluster001	11	25396425	25442093
grm8a	ENSDARG00000077654	protein_coding	Cluster001	4	3464722	3727719
grm8b	ENSDARG00000076508	protein_coding	Cluster001	25	26478278	26794121
grn1	ENSDARG00000089362	protein_coding	Cluster005	19	40599557	40605129
grn2	ENSDARG00000088641	protein_coding	Cluster005	19	40609342	40611978
grna	ENSDARG00000004954	protein_coding	Cluster059	3	29783585	29810515
grnb	ENSDARG00000025081	protein_coding	Cluster002	24	36451170	36476519
grp	ENSDARG00000043074	protein_coding	Cluster037	21	10673258	10680716
grpel2	ENSDARG00000069421	protein_coding	NA	21	30373639	30378829
grsf1	ENSDARG00000053021	protein_coding	Cluster039	5	42343819	42350810
grwd1	ENSDARG00000004806	protein_coding	Cluster008	16	13970179	13980779
grxcr1	ENSDARG00000069865	protein_coding	Cluster003	13	9108303	9110919
gsap	ENSDARG00000045481	protein_coding	NA	4	20477120	20501207
gsc	ENSDARG00000059073	protein_coding	Cluster054	17	19323179	19325685
gsg1l	ENSDARG00000037390	protein_coding	Cluster001	3	28587975	28619653
gsk3aa	ENSDARG00000029501	protein_coding	Cluster003	19	6131879	6164753
gsk3ab	ENSDARG00000015681	protein_coding	Cluster003	16	11351519	11401246
gsk3b	ENSDARG00000017803	protein_coding	Cluster204	9	9599706	9693207
gsna	ENSDARG00000011459	protein_coding	Cluster012	21	17535785	17566546
gsnb	ENSDARG00000045262	protein_coding	NA	5	62601211	62609558
gspt1	ENSDARG00000031048	protein_coding	Cluster249	12	19240461	19262071
gspt1l	ENSDARG00000098627	protein_coding	Cluster114	3	36504196	36522452
gss	ENSDARG00000037706	protein_coding	Cluster008	23	14987010	15013446
gsta.1	ENSDARG00000090228	protein_coding	Cluster158	13	699322	722215
gsta.2	ENSDARG00000039832	protein_coding	Cluster050	13	699294	710792
gstcd	ENSDARG00000036494	protein_coding	Cluster002	1	49307881	49421777
gstk1	ENSDARG00000056510	protein_coding	Cluster001	16	32055173	32059899
gstm.3	ENSDARG00000088116	protein_coding	Cluster004	8	25283033	25287875
gsto1	ENSDARG00000022183	protein_coding	Cluster005	13	25249982	25258601
gstp2	ENSDARG00000103019	protein_coding	NA	14	3388236	3396402
gstr	ENSDARG00000042620	protein_coding	Cluster001	19	770491	776267
gstt1a	ENSDARG00000042428	protein_coding	Cluster001	8	30777879	30782034
gstz1	ENSDARG00000027984	protein_coding	Cluster001	17	44992659	45000078
gsx1	ENSDARG00000035735	protein_coding	Cluster053	5	67231933	67233402
gsx2	ENSDARG00000043322	protein_coding	Cluster034	20	22583375	22584948
gtdc1	ENSDARG00000020642	protein_coding	Cluster002	9	26029851	26102091
gtf2a1	ENSDARG00000011000	protein_coding	Cluster003	20	16538158	16554029
gtf2a1l	ENSDARG00000063670	protein_coding	Cluster010	13	70245	75621
gtf2a2	ENSDARG00000053685	protein_coding	Cluster003	7	29080350	29084934
gtf2b	ENSDARG00000103578	protein_coding	Cluster010	2	22824423	22836638
gtf2e1	ENSDARG00000000542	protein_coding	Cluster008	9	27880915	27909327
gtf2e2	ENSDARG00000012672	protein_coding	Cluster008	1	22161006	22181535
gtf2f1	ENSDARG00000032129	protein_coding	Cluster061	3	33792036	33811811
gtf2f2b	ENSDARG00000006816	protein_coding	Cluster148	9	18821648	18897605
gtf2h1	ENSDARG00000026701	protein_coding	Cluster002	25	3071111	3091371
gtf2h2	ENSDARG00000016514	protein_coding	NA	5	25620858	25632915
gtf2h4	ENSDARG00000036071	protein_coding	NA	19	27732244	27750171
gtf2h5	ENSDARG00000056099	protein_coding	Cluster055	20	26146163	26148697
gtf2ird1	ENSDARG00000022203	protein_coding	NA	5	58823936	58881237
gtf3aa	ENSDARG00000030267	protein_coding	Cluster078	5	67302476	67315375
gtf3ab	ENSDARG00000071583	protein_coding	Cluster002	24	21495461	21497684
gtf3c2	ENSDARG00000004574	protein_coding	Cluster002	20	38640435	38681282
gtf3c4	ENSDARG00000069538	protein_coding	Cluster002	21	17376977	17388021
gtf3c5	ENSDARG00000067979	protein_coding	Cluster172	21	11274625	11290480
gtpbp1	ENSDARG00000053467	protein_coding	Cluster002	3	33308901	33328050
gtpbp1l	ENSDARG00000042900	protein_coding	Cluster002	22	14811716	14827120
gtpbp2	ENSDARG00000071059	protein_coding	Cluster013	22	28909098	28922660
gtpbp3	ENSDARG00000018650	protein_coding	Cluster003	11	6012922	6040504
gtpbp4	ENSDARG00000018961	protein_coding	NA	2	42511955	42525857
gtpbp6	ENSDARG00000061091	protein_coding	Cluster002	6	37463895	37477016
guca1b	ENSDARG00000013393	protein_coding	Cluster001	23	19300953	19304284
guca1c	ENSDARG00000030758	protein_coding	Cluster001	15	2925166	2940389
guca1d	ENSDARG00000044629	protein_coding	NA	21	22869874	22873915
guca1e	ENSDARG00000101567	protein_coding	Cluster001	22	1075740	1092619
guca1g	ENSDARG00000045737	protein_coding	Cluster001	25	13996471	13999911
gucd1	ENSDARG00000068438	protein_coding	Cluster003	8	30721396	30733001
gucy1a3	ENSDARG00000013787	protein_coding	Cluster001	1	25092972	25108222
gucy1b3	ENSDARG00000086790	protein_coding	Cluster001	1	25110819	25150830
gucy2c	ENSDARG00000014320	protein_coding	Cluster001	3	4077837	4112003
gucy2f	ENSDARG00000025504	protein_coding	Cluster001	15	29429842	29447994
gucy2g	ENSDARG00000076776	protein_coding	Cluster002	12	31345975	31361212
guk1a	ENSDARG00000030340	protein_coding	Cluster205	2	3186685	3203882
guk1b	ENSDARG00000005776	protein_coding	Cluster001	8	18195236	18203786
gulp1a	ENSDARG00000001733	protein_coding	Cluster116	9	42805351	42848392
gusb	ENSDARG00000063126	protein_coding	NA	5	1800937	1846705
gxylt1b	ENSDARG00000022550	protein_coding	Cluster015	4	13893924	13903339
gyg1a	ENSDARG00000011934	protein_coding	Cluster010	2	25281132	25289185
gyg1b	ENSDARG00000059391	protein_coding	Cluster001	24	3276070	3294582
gyltl1b	ENSDARG00000017058	protein_coding	NA	18	45121063	45263168
gypc	ENSDARG00000041546	protein_coding	NA	9	23854908	23907745
gys1	ENSDARG00000016875	protein_coding	NA	3	16572214	16597522
h1f0	ENSDARG00000038559	protein_coding	Cluster004	24	37679309	37680639
h1fx	ENSDARG00000054058	protein_coding	Cluster001	6	40771981	40774277
h1m	ENSDARG00000102892	protein_coding	Cluster003	KN150456.1	14113	19625
h2afva	ENSDARG00000068820	protein_coding	Cluster011	5	13147071	13152470
h2afvb	ENSDARG00000099214	protein_coding	NA	10	45138298	45148345
h2afy	ENSDARG00000099329	protein_coding	Cluster017	21	45538226	45550257
h2afy2	ENSDARG00000087897	protein_coding	Cluster085	13	7420831	7435398
h3f3a	ENSDARG00000020504	protein_coding	Cluster007	3	47824036	47825789
h3f3b.1	ENSDARG00000033009	protein_coding	NA	5	36345114	36349323
h3f3b.1.1	ENSDARG00000045248	protein_coding	Cluster025	24	37800832	37805131
h3f3b.1.2	ENSDARG00000068434	protein_coding	Cluster018	15	47272417	47277435
h3f3b.1.3	ENSDARG00000068436	protein_coding	Cluster027	15	47263247	47270078
h6pd	ENSDARG00000060153	protein_coding	Cluster178	6	45917099	45927583
haao	ENSDARG00000076487	protein_coding	Cluster001	13	8622644	8650759
habp2	ENSDARG00000057498	protein_coding	Cluster005	12	31598337	31605164
hacd2	ENSDARG00000014806	protein_coding	Cluster014	9	38219680	38233144
hace1	ENSDARG00000062280	protein_coding	Cluster003	16	2844733	2880152
hacl1	ENSDARG00000020529	protein_coding	Cluster148	16	20361992	20388566
hadh	ENSDARG00000030765	protein_coding	Cluster153	1	49265846	49275216
hadhaa	ENSDARG00000057128	protein_coding	NA	20	48484539	48555271
hadhab	ENSDARG00000060594	protein_coding	NA	17	37280351	37305225
hagh	ENSDARG00000025338	protein_coding	Cluster050	3	18624771	18642794
hal	ENSDARG00000017444	protein_coding	Cluster001	25	7830048	7850402
hao1	ENSDARG00000024160	protein_coding	Cluster143	17	3879456	3912544
hao2	ENSDARG00000027992	protein_coding	Cluster036	9	21335993	21353748
hapln1a	ENSDARG00000089769	protein_coding	Cluster034	5	45890469	45905545
hapln3	ENSDARG00000045802	protein_coding	NA	25	19103280	19107924
hapln4	ENSDARG00000018542	protein_coding	Cluster002	22	17803289	17806275
harbi1	ENSDARG00000036038	protein_coding	Cluster003	7	38536769	38539358
has2	ENSDARG00000036987	protein_coding	Cluster026	16	15479514	15497339
has3	ENSDARG00000057210	protein_coding	Cluster142	18	17034374	17048364
haus3	ENSDARG00000061385	protein_coding	Cluster006	7	24119782	24127272
haus4	ENSDARG00000016594	protein_coding	NA	5	1439432	1460987
haus5	ENSDARG00000019156	protein_coding	Cluster002	8	20865764	20882744
haus6	ENSDARG00000101652	protein_coding	Cluster003	7	58853983	58863210
haus7	ENSDARG00000037432	protein_coding	Cluster003	23	19896091	19905396
hax1	ENSDARG00000036764	protein_coding	Cluster029	19	7880093	7886207
hbae3	ENSDARG00000079305	protein_coding	Cluster238	3	54891985	54893256
hbbe1.1	ENSDARG00000089963	protein_coding	Cluster238	3	54859451	54877454
hbbe2	ENSDARG00000045143	protein_coding	Cluster001	12	20227991	20228755
hbegfb	ENSDARG00000031246	protein_coding	Cluster003	21	30124600	30132252
hbl3	ENSDARG00000068220	protein_coding	Cluster001	2	37904820	37906754
hbp1	ENSDARG00000028517	protein_coding	Cluster121	25	3325980	3345373
hbz	ENSDARG00000045142	protein_coding	Cluster075	12	20220577	20231667
hccsb	ENSDARG00000099358	protein_coding	Cluster009	24	31144688	31155500
hcfc1a	ENSDARG00000015990	protein_coding	NA	11	25198824	25223720
hcfc1b	ENSDARG00000012519	protein_coding	Cluster055	8	7488096	7549084
hcfc2	ENSDARG00000058127	protein_coding	Cluster028	4	9182743	9195378
hcn1	ENSDARG00000104480	protein_coding	Cluster001	21	10161296	10395898
hcn2b	ENSDARG00000061665	protein_coding	Cluster145	22	18927803	18982990
hcn4l	ENSDARG00000074419	protein_coding	Cluster001	25	28765744	28868942
hdac1	ENSDARG00000015427	protein_coding	Cluster025	19	30221386	30231335
hdac10	ENSDARG00000086458	protein_coding	Cluster009	25	4888591	4906636
hdac11	ENSDARG00000087573	protein_coding	Cluster002	11	26896058	26950302
hdac4	ENSDARG00000098349	protein_coding	Cluster002	9	46083552	46441023
hdac8	ENSDARG00000003021	protein_coding	Cluster009	7	51367586	51434924
hddc2	ENSDARG00000034957	protein_coding	Cluster003	20	39782937	39787156
hdgfrp2	ENSDARG00000019530	protein_coding	NA	22	22209437	22234316
hdhd3	ENSDARG00000053934	protein_coding	Cluster002	6	41021029	41024329
hdlbpb	ENSDARG00000061864	protein_coding	Cluster003	12	22282889	22323842
hdr	ENSDARG00000004392	protein_coding	Cluster003	5	26804793	26814928
he1a	ENSDARG00000023656	protein_coding	NA	22	14068532	14069969
he1b	ENSDARG00000019122	protein_coding	Cluster086	22	14068583	14074622
heatr1	ENSDARG00000099742	protein_coding	Cluster039	12	9582066	9662762
heatr3	ENSDARG00000036076	protein_coding	Cluster078	7	37627363	37648217
heatr5a	ENSDARG00000023999	protein_coding	Cluster002	17	28607396	28652951
heatr6	ENSDARG00000073686	protein_coding	Cluster003	21	38697388	38747431
heca	ENSDARG00000042877	protein_coding	Cluster002	20	36918025	36941108
hectd2	ENSDARG00000061194	protein_coding	Cluster013	12	16279407	16332151
hecw1b	ENSDARG00000004291	protein_coding	Cluster001	2	50146434	50244094
hecw2a	ENSDARG00000062447	protein_coding	Cluster001	9	24348856	24376363
heg1	ENSDARG00000018441	protein_coding	Cluster079	9	38875076	38897715
helb	ENSDARG00000053127	protein_coding	Cluster008	4	12771102	12782333
hells	ENSDARG00000057738	protein_coding	NA	13	7923083	7938695
helq	ENSDARG00000079818	protein_coding	Cluster002	21	19294138	19310888
helt	ENSDARG00000056400	protein_coding	Cluster053	1	16900455	16902108
helz2	ENSDARG00000016527	protein_coding	NA	6	58575577	58621300
henmt1	ENSDARG00000018871	protein_coding	Cluster002	20	33841186	33846295
hepacam2	ENSDARG00000061365	protein_coding	Cluster157	19	40763348	40787308
hepacama	ENSDARG00000056934	protein_coding	Cluster001	15	22376071	22390241
hephl1a	ENSDARG00000059231	protein_coding	Cluster038	15	2458157	2509361
her1	ENSDARG00000014722	protein_coding	Cluster021	5	68017991	68024396
her12	ENSDARG00000032963	protein_coding	Cluster161	23	21518371	21520434
her13	ENSDARG00000007097	protein_coding	Cluster053	15	7190431	7193386
her15.1	ENSDARG00000054562	protein_coding	Cluster161	11	41370256	41371807
her15.2	ENSDARG00000054560	protein_coding	Cluster161	11	41363460	41387324
her2	ENSDARG00000038205	protein_coding	Cluster038	11	41354000	41357664
her4.1	ENSDARG00000056732	protein_coding	Cluster053	23	21526006	21527063
her4.2	ENSDARG00000056729	protein_coding	Cluster053	23	21542652	21544471
her4.2.1	ENSDARG00000094426	protein_coding	Cluster053	23	21528601	21534583
her4.4	ENSDARG00000009822	protein_coding	Cluster053	23	21535470	21544507
her5	ENSDARG00000008796	protein_coding	Cluster023	14	30202694	30204352
her6	ENSDARG00000006514	protein_coding	Cluster015	6	36573189	36574950
her7	ENSDARG00000017917	protein_coding	Cluster007	5	68036503	68037818
her8a	ENSDARG00000016363	protein_coding	Cluster208	7	26158748	26165287
her9	ENSDARG00000056438	protein_coding	Cluster015	23	23472969	23474754
herc3	ENSDARG00000075887	protein_coding	Cluster002	1	49995590	50047712
herpud1	ENSDARG00000024314	protein_coding	Cluster002	18	17611573	17619512
hes2.1	ENSDARG00000074897	protein_coding	Cluster042	8	46930867	46935793
hes2.2	ENSDARG00000068168	protein_coding	Cluster042	8	46905979	46907268
hes6	ENSDARG00000019335	protein_coding	Cluster021	2	48434297	48450532
hesx1	ENSDARG00000054509	protein_coding	Cluster160	11	42344031	42345373
hexdc	ENSDARG00000061216	protein_coding	Cluster002	12	26520066	26529368
hfe2	ENSDARG00000030494	protein_coding	Cluster067	16	42980041	42990870
hgd	ENSDARG00000058005	protein_coding	Cluster005	24	23814313	23825872
hgh1	ENSDARG00000101259	protein_coding	NA	19	2803375	2814534
hhat	ENSDARG00000074428	protein_coding	Cluster002	17	25758939	25813178
hhatla	ENSDARG00000039051	protein_coding	Cluster004	2	21679743	21694039
hhatlb	ENSDARG00000005139	protein_coding	Cluster004	24	20414590	20427751
hhip	ENSDARG00000060397	protein_coding	Cluster249	1	35058055	35103836
hhipl1	ENSDARG00000062501	protein_coding	Cluster169	17	17919259	17928751
hhipl2	ENSDARG00000060008	protein_coding	Cluster013	17	45518126	45542684
hhla2a.1	ENSDARG00000043182	protein_coding	Cluster012	10	35473239	35493764
hiat1a	ENSDARG00000013117	protein_coding	Cluster002	2	37673621	37702184
hiat1b	ENSDARG00000043055	protein_coding	Cluster003	22	10684031	10705566
hibadhb	ENSDARG00000007959	protein_coding	NA	16	21065196	21083697
hic1	ENSDARG00000055493	protein_coding	Cluster146	15	25745779	25755002
hic1l	ENSDARG00000045660	protein_coding	Cluster008	25	25469480	25480639
hic2	ENSDARG00000100497	protein_coding	Cluster002	10	3166057	3176307
hid1b	ENSDARG00000100583	protein_coding	Cluster002	12	46242580	46278940
hif1ab	ENSDARG00000034293	protein_coding	NA	20	20426938	20455904
hif1al2	ENSDARG00000044550	protein_coding	Cluster016	21	27290747	27303205
hif1an	ENSDARG00000031915	protein_coding	Cluster002	13	29822183	29849765
higd1a	ENSDARG00000022303	protein_coding	Cluster009	2	1825741	1830943
hinfp	ENSDARG00000004851	protein_coding	Cluster002	5	29996324	30006650
hint1	ENSDARG00000103824	protein_coding	Cluster027	10	7678111	7682097
hip1ra	ENSDARG00000077445	protein_coding	Cluster002	10	44619730	44634003
hip1rb	ENSDARG00000102458	protein_coding	Cluster240	5	65687647	65750230
hipk1a	ENSDARG00000063594	protein_coding	Cluster029	23	36693826	36743183
hipk2	ENSDARG00000042518	protein_coding	NA	18	12495743	12685278
hirip3	ENSDARG00000027749	protein_coding	Cluster003	3	15043705	15060691
hist2h3c	ENSDARG00000094154	protein_coding	Cluster007	25	34546698	34547197
hivep1	ENSDARG00000103658	protein_coding	NA	19	3443817	3547962
